Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,83.36082809164637,86.33696915406581,108.26259920834704,113.44541297648857,79.98326478757618,100.45589238139208,96.89252260860405,47.69990634168202,122.76290773064444,73.74961198431144,63.70584172286402,77.17974673988941,109.59627963257479,61.361592509980426,56.99047669133559,57.29190954573337,61.406665533279096,80.83149390035385,80.09733023546843,71.69086059043383,65.62383069634203,155.2586431717941
2006,85.79558748107507,88.75677069862765,137.79298559326332,129.66745636689723,88.073611667563,120.4798152016659,75.71059356871768,41.23898856312932,121.83194607528701,75.31927939942133,58.36260529441479,68.33207776478277,150.66929283800795,61.885515202470025,70.33696457703641,62.91442761140271,60.96871575713859,67.9122040973252,67.64617376826787,73.94456843602131,68.37805696613378,159.54237072862801
2007,86.91390200204182,88.67099992509972,123.69148039150849,126.25768091734427,86.90693417041886,99.62166460484511,99.15746999212467,38.14445411356381,91.42426538004206,80.720717627077,75.87176771912584,63.622085807252354,137.6574354910816,69.01223848206776,81.13756953984353,72.26902852566128,81.8091315735139,76.32519111934026,69.50147595504373,78.08154879726558,72.54404070781354,152.5693066457312
2008,84.77269189523122,88.6968630893714,128.03150279890914,111.51540695596105,89.73668662949167,94.7422489428955,92.18331350897355,46.01575914512894,108.08915273420956,71.22595495752469,72.66883807485722,66.22485630310639,98.73708723218705,65.81404143064428,101.38254352249605,71.30389791248724,104.64406170491876,81.45945904138952,78.85990974103666,74.67167930919184,68.26540439045117,163.15192229195196
2009,79.22316575205404,81.82065729700705,136.1428524152277,90.80571170136896,85.16580510384829,103.66204406649258,86.870772373672,41.43568276432835,92.90872564827787,70.36265559981048,65.9730014597544,64.90117836857478,89.40657991652344,61.80009270945168,44.97039583222737,59.07644558915617,74.92084003220322,75.6421336283018,69.49256860193178,69.73593662407649,63.79237606793245,160.7492854664555
2010,76.99915770399569,79.91527251316623,112.89533891862023,103.83922529964399,90.41535094689013,92.22760920950599,84.27475607980195,38.376749336367084,89.98959630742179,67.11665202996453,65.63081638751956,73.27968167002292,74.10191732870129,62.03345675916822,93.30661835047106,66.56021162790617,77.55514179750666,54.816804603565586,64.26518133569712,68.77588993919643,61.39449343088635,144.4853844530778
2011,74.03079105954856,75.96438264052642,157.65726722180167,90.71607470074441,95.81694096700673,64.02670938477746,93.65923554940535,28.961148185052217,90.86045714667812,67.1441469424041,56.24359478363558,45.31419528980505,126.3892217700312,61.5916218572843,51.807236442559464,66.4754413578512,72.22293808049535,55.375821688097695,57.91950187463126,67.81747662750044,61.18681696811573,148.34911314682077
2012,56.88509297022178,56.48434371750457,96.3470866456754,72.86645972761546,66.2935309811006,51.03272678432855,74.02940417811614,25.037468453988584,69.42538424240558,58.87506489706628,48.550535162758756,51.019867868060366,117.0862606539594,45.751115468558964,26.359711920885736,45.69367737207866,52.64606803026275,42.727855579787274,45.06037613145546,51.16889345112925,46.84155984934393,139.6262608388001
2013,58.42438177599385,59.58889928586117,87.18004171117555,76.47806979854035,57.07807001213072,56.36686919032482,89.57256391952245,29.825228042270165,55.68820962502539,54.009051325873784,48.078597772292525,67.17837135624464,50.963583377700566,45.67480779910497,26.078112999787177,42.97189842156073,54.925593336086,41.01368841549881,41.64990430819473,51.68345977977322,47.1664875181767,133.40814310179348
2014,57.189464843638646,56.351256641528,122.80740460097041,82.85365335075372,61.64285194234229,62.64042460944602,66.90312656544774,23.790865317640222,48.59919467515815,60.07139457242174,50.746648722353065,56.88362905529886,74.20611095440849,43.717019201472795,28.848451477825815,42.23952035062307,43.395754605652215,30.606723213575968,37.25299318566545,49.71433833344766,46.319682734536414,111.2440486300036
2015,56.08157929992942,55.190098073414624,100.29451330256417,70.85883531101202,56.86717954555826,58.1043215642821,58.618658941764224,27.57584828743337,50.07455100498525,58.770878406355315,50.16582227739884,55.818569555700584,78.69676502436383,45.438375132602125,46.38724353491981,43.123578704679204,43.09946036599952,38.201625581127956,40.30695463383793,50.33306554919917,46.96479401536779,98.96529624416952
2016,53.448583985429075,53.132509173471966,107.03444543552095,51.32697392888204,52.19743128861527,65.15220681621348,59.24259008717727,26.6159989856143,63.91891036036151,54.28320866190681,53.92631718407772,37.23650392202156,120.23430602558372,44.383976356653186,29.117211854122967,43.3912415580824,51.879744182254804,36.109439442480486,38.21313300196433,48.80946653886824,45.338301347827276,98.85080792214396
2017,48.42281040789401,47.75461701668078,86.80524606354606,52.42846313672659,44.97802695437625,39.87452286047516,66.34888213161818,26.735529150488283,52.53235137981081,50.42144120269289,52.63328728655809,30.622488828279526,65.3499572123503,41.851863025546315,28.77446458812551,43.975299819378634,43.992355634596024,51.794085347032805,45.87145615313471,45.140738892826946,41.042199472970545,95.49805223102814
2018,51.22250756150735,50.54396114774672,88.15091383441802,57.42942967062526,41.148023761306014,67.41420017787043,84.69435599846672,28.73710068654413,54.343874327464356,53.337133401927005,54.48815554997804,32.148317720360765,65.21367282799194,46.036430859161925,45.030209862367634,42.77847082720355,50.609489021645835,43.13864683087858,55.98880219830645,48.79352261145739,43.57589137764168,107.18369813655345
2019,63.914352518035415,65.48954331969958,121.19471339372285,82.39686381658065,54.94726080958389,79.61765893876849,89.99686172921093,36.927501521979735,50.45746882359884,58.9149850489895,55.10659112812215,57.5351496658222,76.81183137174301,58.10575111514399,47.18603621456273,63.3089716909292,61.11970452242675,47.85325683026647,61.15837302984078,61.08848305945432,51.668155621398995,146.94373526415913
2020,43.73625643969863,44.18523102780436,90.41527579795876,50.66779099612729,38.616969215427595,53.68265418568544,63.366589864912164,32.30897377328406,37.74320215591883,42.27369011513357,44.51547688028086,28.35517420554689,49.349894053733685,41.04807522586643,27.19916441829241,49.51469063091683,43.98414982313795,25.692467760700513,50.951803328516235,42.721890924148724,39.214696719779084,122.55481434656801
2021,49.8438000956743,52.5846476677907,91.6334116294521,77.7886798685171,45.0552266327733,60.8870901704496,85.5210679091612,32.7713438544672,41.816216416462,39.9262073555138,27.7863229140928,39.6374963927029,42.8683216321919,41.9361830554319,27.8723373658652,47.2672257766362,41.7094822133766,43.2316060357202,52.7149600315463,46.418192990803,41.1318953638706,157.209646410631
2022,55.8890948058175,56.183407049298,72.9718340071345,91.7929523305816,48.725032557439,68.7278528712283,87.606428016126,31.1166888113044,48.534588505435,54.6686877369601,49.7666073672859,43.1125432017019,37.1568424234164,51.0758610283984,33.553453443464,55.0696600426431,54.9424931843003,22.5882552890543,80.4525582263204,53.8442532875931,49.6179960405424,91.1295670670756
