Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Βέλγιο,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Δανία,Ρουμανία,Σουηδία,Τσεχία,Λοιπές_Χώρες,Αλβανία,Αυστραλία,Ελβετία,Ηνωμένο_Βασίλειο,ΗΠΑ,Καναδάς,Ρωσία,Κρουαζιέρες,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,64.16766064291369,65.0053454490474,69.74361768918403,75.69865220156026,79.87261281080283,57.2863003049499,99.91814131461614,74.95387232811933,55.094978256555606,66.75658264401909,59.54453919921772,71.74452992627569,60.451993603485036,58.87150452833777,50.334879419421945,81.21252040720546,77.36910304119081,76.86726852007264,74.57532036798919,80.68926212603374,101.76984142076562,73.00591412741655,98.55070842569961,:,69.92638611227757,63.16302321256648,91.65958739855219
2006,63.88563705525849,65.32291585697324,64.49130628032222,77.05468542755989,75.93537843270359,60.12028815850041,98.91536340375887,70.55963648284859,53.29947115484781,69.11426101222163,56.570218380851855,73.8284776479555,59.46358614348937,56.19770569071879,51.41073965083095,82.38261630003964,79.10614865365571,85.50867518108255,63.90349562091253,81.62721336331215,102.65131533075318,80.08291918542899,95.61820301833336,:,70.03115897764312,63.07030032887448,93.29501110600802
2007,63.87876507374146,65.11934765065824,56.615676715169826,80.74073813428399,74.21566032395303,59.15936165480627,70.5606688615425,76.01241192754647,57.01759968200728,63.47365458708634,57.954428291136686,73.61837441079369,63.10900567280877,54.73947948630101,55.20618035310993,81.36086301735384,106.60684462096486,91.41376547196901,75.76726437462952,85.69519335272454,94.12982038577628,75.25190527221477,94.94095544755884,:,70.20297057279375,61.44108068148476,94.61032967640892
2008,70.59019531748001,72.13930311541176,69.38675841389718,92.48561626865583,84.79663923813898,62.401902320726926,68.90534908574908,80.51163610771017,66.90315732450101,75.07421625682554,63.5117306481976,73.57588105496892,66.32556106374642,58.69973948767647,66.43469850613764,85.68726269831875,151.94978663963818,96.72529750780694,83.17213503803745,81.21887152462254,92.92655864028869,93.57029297693842,114.07768412962434,:,76.25304297703542,67.34656542473712,98.0893731426327
2009,68.67042097050647,69.80135118226838,72.80288616920515,89.64180302617223,79.06579128073373,64.50548034482517,73.07598828609004,75.10774635172703,55.31061317996221,70.65089869702938,63.45873165153193,74.4884988928955,70.84808965120689,64.6068760066502,60.4274608657093,81.71562427052639,144.88718926485495,102.881830427359,80.13963073852558,77.69465169114551,92.0413291826409,94.06816762064075,94.61835988739979,:,73.52897326844344,64.54541248221312,97.11662467992278
2010,64.35522652183496,66.80589434938678,78.49798807590848,78.17088327811561,69.81314695797398,66.51431917878048,83.51857748140583,66.81039448183421,57.68785588499795,60.07982819131258,54.376460265581024,63.95818437243099,52.763265446184995,57.53707765495107,54.85095837625294,75.03575953517635,100.9098161100166,109.3156297533423,86.85721332570306,66.65414088742811,95.58945926367704,94.04534858323743,103.08279641545741,:,68.5658455975049,61.97758789308348,87.24453945910354
2011,64.98288339804193,67.48697964399994,76.55304172679983,78.62264223634071,73.00679560240053,63.95796882293854,102.82977640146368,68.32258343641794,57.413927500155225,65.52620323439423,54.13875962507921,69.76653664280852,36.066359792589644,59.7680182860741,53.60580658047129,76.5004373318622,71.13564443451773,111.50814719684408,94.4643253201761,68.5407065689745,91.79000503699137,101.31237645693076,94.22490765700212,:,69.57776680243501,62.751881551559656,88.4410364000123
2012,64.98031811286207,66.57302318015698,82.2117533417317,80.07969856926714,78.94295254052426,61.29048895875913,93.12486041592494,68.56495629115162,51.35795675478702,60.93316261500761,57.59102261373534,69.20882931148805,54.147379093478875,67.83790455674342,53.71158160079554,79.05236954413515,70.90493042310204,125.00571865130611,94.94653209088214,71.54856516202551,91.29210735521285,86.61630348775513,99.34638516619056,278.8345050671254,73.3232969923077,63.3882500483151,100.29403783604606
2013,66.92185361253225,68.77147375505149,87.67307028653234,85.51226520077601,79.28813346053367,65.64211629261266,73.78163883627025,66.31336186022266,49.606180383053186,63.318925769861536,58.92951383379011,64.58666691819516,58.60536071556088,65.30912521900893,56.719977382567116,80.34686588686965,73.87311495222221,106.79098609649955,92.92455861927176,72.8080485856862,100.03161234240933,95.09030020823947,93.47354418673639,166.92205598247514,74.59104520029399,65.46439077102313,97.79310836318662
2014,65.07462293733221,69.1788332873036,85.37139063189794,83.20542894932676,77.8614142356744,65.82107979162339,71.90168254179957,68.70687233947469,51.34912702557637,63.41543693914466,51.60336968401527,72.72501309706898,48.271716622318,63.66707194749488,53.7429458769476,77.02860500114626,77.79920588455727,103.02224563161596,93.79397620462028,75.93577010648147,96.10399622549443,81.89900692019403,88.16573283110039,181.38670159744376,71.64814597476358,63.879797045709026,94.6420961578755
2015,67.6983000112066,73.0778942929782,95.32014062606068,81.17294416286721,82.87359594380527,71.5631557333238,86.76045654683249,69.5916973848407,49.8562061896429,65.22051845914824,51.22429629466303,66.87444539090622,43.311997344172156,69.06648180025664,56.70965112203443,82.8801087406215,76.68785254395509,115.86011940668855,96.69163361806176,84.9489885384333,110.2042379452197,93.74999315975816,77.08235402173679,149.6285667625537,75.1325085931916,68.30617771945957,97.17312172536744
2016,62.70083955068279,65.92244245783826,76.9464270571816,73.75123147904743,76.80464732894981,64.50466169089425,69.1976295541554,62.267209775510835,48.672261972696546,64.69245381114185,53.435931774356824,66.90467743723607,57.24262159089745,63.72613757723152,52.877737601686334,73.32659758542607,57.15228677279873,86.92999529416261,86.96088564972237,73.13645127047194,89.01082955634183,75.16231150997723,72.09153948119769,151.64540793620148,68.28076235107012,61.390186257840845,89.65472266235783
2017,63.694654327039395,68.39716326510658,73.25769825333987,72.58232384807285,81.01445562392618,67.82412800499084,60.6357450242809,62.56005797208806,49.95629611272583,75.14364662095073,49.51327645648836,57.307139468115956,49.44445662504775,62.59839387133782,47.38626567454288,73.2708052225968,58.74119904500785,95.19903736890798,86.16712184348886,77.76109924424274,85.24300670006225,72.83338718358563,71.04739987144588,116.80666608828757,68.51988767595837,62.369611706814915,84.03486627197057
2018,65.49647699863941,68.76731110977578,79.94965638671187,75.21375609476799,69.40566577665712,69.52745461597353,65.08371384117441,67.33285322165597,65.98469205127938,67.54575958671712,55.90641257206511,67.55580047984736,52.90457105055784,68.03005756150147,57.00063165875068,74.3622376034379,68.90635574674754,84.2827244027651,85.05968097243024,75.33236877223663,89.134735619382,75.1320291862037,65.95308971918931,116.47207976623157,69.71814885132882,63.805143035065726,85.68224427254525
2019,73.29218488196219,79.24222605291584,89.93934450156938,88.25900836309724,84.1706781843558,79.29047676987385,83.39343800403081,79.99273986289131,64.32291744752041,70.49653907498961,56.79424614640089,74.46845820944134,54.404713372365,70.2836371561434,57.572404266961804,79.73288370492843,64.14180060298145,80.9435681354494,95.32701368654423,84.48932764525935,95.42084988671131,84.67495695649704,71.20000975836867,122.16584839318342,76.85055477704157,67.5997104869244,101.7384616112961
2020,65.57915756025878,66.57013379687608,77.80683889630927,62.20627126625094,80.22118052515766,66.02975657074822,66.90692641014176,63.029381726742905,53.078525233378365,64.8322819354208,60.772537188569395,74.32598499482779,64.09511588290671,45.112593825473624,58.492405662616434,70.92130712826032,61.68089287182438,47.7557559872546,84.73142921976192,72.35120823103443,61.663759619800686,50.98447158224926,59.91646496201811,74.34926283984203,67.29965076132956,62.03170324930414,88.3794093759455
2021,75.8169083379297,77.4963101086121,90.6481122904687,93.6130362428266,87.9110133617537,76.1094735794539,84.0795427795026,74.542912668628,53.3681864745816,70.4641214463034,69.2326049729176,86.8474518932113,65.8669466815023,69.7412451174717,65.4622149288923,84.6734066859302,56.7881452980013,38.5496092141443,90.9395476403762,90.857746721883,106.008628117428,89.6978490496265,85.1144234885611,73.3081501343192,78.5337647318467,70.3920713144605,106.924389339616
2022,74.6611256890282,76.6912073926182,90.4389962718588,76.8809145144589,86.3221474373022,74.6102692921593,65.9388629975722,84.6428175388097,59.499045543907,72.0611605108498,67.3721904177449,69.5488742500287,64.6489092548608,73.6418386392674,71.6504827957659,87.4396628806919,68.733470084867,110.43231658625,93.4935274289204,83.4816300965095,98.6685534037243,100.189898722432,104.817451971597,128.281066954966,80.2685186585804,80.8039556107091,78.5388966449781
