Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,556.2,657.4,517.4,786.1,747.8,758.3,584.3,571.0,664.1,351.7,193.4,577.9,584.4,680.4,768.2,1070.0,1499.2,1256.7,389.5,672.6,657.3,777.5
2006,606.2,723.7,532.4,922.0,796.4,820.3,721.7,493.4,721.2,361.5,187.4,603.4,597.4,704.0,739.5,1054.8,1425.7,1157.0,373.1,718.1,700.3,862.3
2007,606.7,695.1,566.5,803.9,766.9,833.9,642.0,525.6,790.7,406.6,208.1,589.4,590.3,603.4,709.7,1070.6,1491.3,1210.2,417.2,706.3,683.3,900.1
2008,630.1,734.2,593.8,910.4,782.0,899.0,696.9,564.2,815.8,391.6,197.9,730.3,648.9,671.7,812.8,996.6,1860.2,1210.7,404.5,711.6,684.4,924.3
2009,590.2,676.6,592.7,806.4,727.8,722.1,676.0,486.8,721.8,391.7,195.5,758.8,618.6,560.0,690.8,916.1,1523.6,1061.9,312.4,632.2,598.9,955.1
2010,509.6,595.8,494.0,663.4,703.3,640.9,565.6,422.0,650.6,321.7,136.4,611.9,524.5,505.0,629.5,826.3,1373.7,885.8,258.4,567.5,532.0,799.9
2011,461.4,581.0,513.0,668.6,699.6,604.2,537.3,424.6,546.6,252.2,114.6,420.1,562.6,357.5,643.9,835.0,1222.9,809.9,237.1,458.7,424.9,762.7
2012,439.7,541.8,512.1,563.0,629.6,529.7,537.5,412.7,585.8,231.8,124.7,473.3,474.9,300.9,380.8,718.8,1062.2,741.4,170.7,393.9,368.4,750.3
2013,445.4,569.5,437.1,678.1,621.0,626.6,580.8,454.7,587.9,232.9,108.9,692.7,510.8,298.3,544.0,820.2,1357.7,767.5,190.6,399.5,371.6,768.1
2014,404.0,522.5,471.1,621.1,563.4,573.5,478.9,453.1,513.0,233.4,106.9,482.7,544.2,271.5,411.4,771.0,1032.2,608.9,141.2,357.9,337.1,668.0
2015,351.3,510.5,465.2,607.1,579.5,533.7,461.0,388.8,599.9,186.5,100.0,559.7,399.4,268.8,535.0,729.8,1115.7,649.0,155.4,323.9,300.9,677.0
2016,292.2,450.7,441.4,453.0,486.1,581.6,420.5,367.3,459.7,153.1,82.1,401.7,465.0,230.1,421.5,618.3,1026.7,471.3,115.6,277.2,256.8,583.7
2017,246.0,449.1,396.0,540.8,453.2,599.3,427.7,373.2,480.8,107.9,71.7,305.6,425.8,229.5,501.5,634.3,957.8,699.6,132.2,247.8,224.6,546.2
2018,263.9,479.4,410.9,609.0,465.7,593.9,487.8,426.5,421.2,113.4,73.3,324.4,473.5,265.1,521.5,625.1,901.9,528.8,129.9,275.2,247.5,561.8
2019,324.3,520.9,543.8,696.5,450.5,623.6,561.0,395.6,515.2,139.1,71.8,404.7,412.3,338.8,526.3,621.0,1093.1,517.4,161.3,349.6,296.7,816.1
2020,326.3,487.8,477.9,543.3,469.9,564.8,539.8,358.3,619.6,153.4,101.6,446.4,530.5,326.2,488.9,593.4,926.4,454.9,185.7,341.1,319.6,671.0
2021,506.4,598.3,569.1,755.6,632.3,671.0,596.0,469.0,623.2,292.4,123.0,449.9,468.2,551.2,644.5,875.3,1079.1,740.9,305.8,549.1,509.3,960.1
2022,374.7,514.4,479.4,634.1,513.7,637.3,482.5,443.6,583.3,173.6,77.2,389.1,506.6,350.8,534.1,695.8,1278.9,564.4,232.2,377.8,352.0,583.6
