Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,6.7,7.6,4.8,6.9,9.3,7.5,6.0,12.0,5.4,4.8,3.0,7.5,5.3,11.1,13.5,18.7,24.4,15.5,4.9,9.4,10.0,5.0
2006,7.1,8.2,3.9,7.1,9.0,6.8,9.5,12.0,5.9,4.8,3.2,8.8,4.0,11.4,10.5,16.8,23.4,17.0,5.5,9.7,10.2,5.4
2007,7.0,7.8,4.6,6.4,8.8,8.4,6.5,13.8,8.6,5.0,2.7,9.3,4.3,8.7,8.7,14.8,18.2,15.9,6.0,9.0,9.4,5.9
2008,7.4,8.3,4.6,8.2,8.7,9.5,7.6,12.3,7.5,5.5,2.7,11.0,6.6,10.2,8.0,14.0,17.8,14.9,5.1,9.5,10.0,5.7
2009,7.4,8.3,4.4,8.9,8.5,7.0,7.8,11.7,7.8,5.6,3.0,11.7,6.9,9.1,15.4,15.5,20.3,14.0,4.5,9.1,9.4,5.9
2010,6.6,7.5,4.4,6.4,7.8,6.9,6.7,11.0,7.2,4.8,2.1,8.3,7.1,8.1,6.7,12.4,17.7,16.2,4.0,8.3,8.7,5.5
2011,6.2,7.6,3.3,7.4,7.3,9.4,5.7,14.7,6.0,3.8,2.0,9.3,4.5,5.8,12.4,12.6,16.9,14.6,4.1,6.8,6.9,5.1
2012,7.7,9.6,5.3,7.7,9.5,10.4,7.3,16.5,8.4,3.9,2.6,9.3,4.1,6.6,14.4,15.7,20.2,17.4,3.8,7.7,7.9,5.4
2013,7.6,9.6,5.0,8.9,10.9,11.1,6.5,15.2,10.6,4.3,2.3,10.3,10.0,6.5,20.9,19.1,24.7,18.7,4.6,7.7,7.9,5.8
2014,7.1,9.3,3.8,7.5,9.1,9.2,7.2,19.0,10.6,3.9,2.1,8.5,7.3,6.2,14.3,18.3,23.8,19.9,3.8,7.2,7.3,6.0
2015,6.3,9.2,4.6,8.6,10.2,9.2,7.9,14.1,12.0,3.2,2.0,10.0,5.1,5.9,11.5,16.9,25.9,17.0,3.9,6.4,6.4,6.8
2016,5.5,8.5,4.1,8.8,9.3,8.9,7.1,13.8,7.2,2.8,1.5,10.8,3.9,5.2,14.5,14.2,19.8,13.1,3.0,5.7,5.7,5.9
2017,5.1,9.4,4.6,10.3,10.1,15.0,6.4,14.0,9.2,2.1,1.4,10.0,6.5,5.5,17.4,14.4,21.8,13.5,2.9,5.5,5.5,5.7
2018,5.2,9.5,4.7,10.6,11.3,8.8,5.8,14.8,7.8,2.1,1.3,10.1,7.3,5.8,11.6,14.6,17.8,12.3,2.3,5.6,5.7,5.2
2019,5.1,8.0,4.5,8.5,8.2,7.8,6.2,10.7,10.2,2.4,1.3,7.0,5.4,5.8,11.2,9.8,17.9,10.8,2.6,5.7,5.7,5.6
2020,7.5,11.0,5.3,10.7,12.2,10.5,8.5,11.1,16.4,3.6,2.3,15.7,10.7,7.9,18.0,12.0,21.1,17.7,3.6,8.0,8.1,5.5
2021,10.2,11.4,6.2,9.7,14.0,11.0,7.0,14.3,14.9,7.3,4.4,11.4,10.9,13.1,23.1,18.5,25.9,17.1,5.8,11.8,12.4,6.1
2022,6.7,9.2,6.6,6.9,10.5,9.3,5.5,14.3,12.0,3.2,1.6,9.0,13.6,6.9,15.9,12.6,23.3,25.0,2.9,7.0,7.1,6.4
